k,codigo,h,mae
4,330/183,9,0.7800760173797607
4,331/2,1,1.04135835647583
4,331/2,2,0.5112252998352051
4,331/2,3,0.08191520690917997
4,331/2,5,0.08701751708984418
4,331/2,7,0.31187313079833956
4,331/2,8,0.6552183914184573
4,331/2,9,0.3172952461242673
4,331/2,11,0.4229943084716794
4,331/2,12,1.1857216644287112
4,341/17,1,0.20369955062866207
4,341/17,2,0.3160015487670895
4,341/17,3,0.6895528984069825
4,341/17,4,0.30525093078613263
4,341/17,5,0.36624622344970703
4,341/17,6,0.1818635940551765
4,341/17,7,0.19902748107910107
4,341/17,8,0.5251719474792473
4,341/17,9,0.838607215881348
4,341/17,10,0.6957962226867673
4,341/17,11,0.6481040000915526
4,342/78,1,0.16950614452362056
4,342/78,2,0.5638873815536498
4,342/78,3,1.5149215507507323
4,342/78,4,1.020261030197144
4,342/78,5,4.365229382514953
4,342/78,6,1.3069848155975343
4,342/78,7,0.88649658203125
4,342/78,8,1.0272183418273926
4,342/78,9,0.4193280887603761
4,342/78,10,0.18775733470916744
4,342/78,11,0.3623945951461792
4,342/78,12,1.0127799081802369
4,342/97,1,1.4032524394989014
4,342/97,2,2.4797436618804936
4,342/97,3,0.24772216796874957
4,342/97,4,1.9622635269165043
4,342/97,5,1.1480198287963868
4,342/97,6,0.3972541236877438
4,342/97,7,0.8526169776916506
4,342/97,8,0.003688125610351811
4,342/97,9,0.8988473892211912
4,342/97,10,1.3853042793273929
4,342/97,11,0.39660373687744155
4,342/97,12,1.0686661338806154
4,377/54,1,0.39610357284545916
4,377/54,2,2.395261526107788
4,377/54,3,1.9437510490417482
4,377/54,4,4.261040115356446
4,377/54,5,1.1818523406982422
4,377/54,6,0.5635013580322266
4,377/54,7,0.6015031814575194
4,377/54,8,0.7881967544555666
4,377/54,9,0.7482983589172365
4,377/54,10,0.3813079261779784
4,377/54,11,0.2886237621307375
4,377/54,12,0.6754764556884765
4,377/84,1,0.9075494766235348
4,377/84,2,0.3644404411315918
4,377/84,3,0.3060243606567381
4,377/84,4,0.1741530418395998
4,377/84,5,0.07580226898193398
4,377/84,6,0.5210243797302248
4,377/84,7,0.36742713928222637
4,377/84,8,0.5462528228759762
4,377/84,9,0.942474365234375
4,377/84,10,2.848108863830566
4,377/84,11,1.8949487686157234
4,377/84,12,2.170550918579101
4,377/86,1,0.046071758270263885
4,377/86,2,0.3216557121276855
4,377/86,3,0.2463248538970948
4,377/86,4,0.2130464553833007
4,377/86,5,0.03430966377258304
4,377/86,6,0.28320580482482915
4,377/86,7,0.7448463249206543
4,377/86,8,1.092052936553955
4,377/86,9,0.06159164428710895
4,377/94,1,0.08267097473144513
4,377/94,2,0.06741116523742718
4,377/94,3,0.15320488929748555
4,377/94,4,0.051250457763671875
4,377/94,5,0.10962728500366214
4,377/94,6,0.12739546775817878
4,377/94,7,0.25102519035339377
4,377/94,8,0.29433409690856926
4,377/94,9,0.29164890289306644
4,390/208,1,0.764911422729492
4,390/208,2,0.723020706176758
4,390/208,3,0.4820714569091793
4,390/208,4,0.7689610099792477
4,390/208,5,0.22816854476928672
4,390/208,6,0.6711751556396486
4,390/208,7,1.2017683601379394
4,390/208,8,0.22936111450195273
4,390/208,9,1.458002529144287
4,390/208,10,0.6438968467712405
4,390/208,11,0.023680362701416158
4,390/208,12,0.127541370391846
4,391/243,1,0.35827543258666994
4,391/243,2,0.7435796546936035
4,391/243,3,0.8441582775115968
4,391/243,4,1.899367504119873
4,391/243,5,1.300033769607544
4,391/243,6,0.6923064994812012
4,391/243,7,0.4466265773773195
4,391/243,8,0.4988096141815186
4,391/243,9,0.3265276718139649
4,391/243,10,0.6878072357177736
4,391/243,11,0.1473656558990477
4,391/243,12,0.235568389892578
4,391/33,1,0.33111442565918026
4,391/33,2,1.1234699249267575
4,391/33,3,1.9774342155456548
4,391/33,4,1.7189735984802255
4,391/33,5,1.5083099365234371
4,391/33,6,1.4700431823730469
4,391/33,7,1.6559187889099123
4,391/33,8,1.3403062438964843
4,391/33,9,1.4725612640380863
4,391/437,1,0.018596267700194957
4,391/437,2,0.24987331390380874
4,391/437,3,0.2988335037231451
4,391/437,4,0.12716892242431577
4,391/437,6,0.2546214294433593
4,391/437,7,0.20735668182373068
4,391/437,9,0.048051681518554545
4,404/69,1,0.36838134765624986
4,404/69,2,0.7427344703674317
4,404/69,7,0.1423054313659664
4,404/69,9,0.41441614151001005
4,404/69,10,0.6783762550354004
4,405/17,1,0.3044448900222778
4,405/17,2,0.27918881416320795
4,405/17,3,0.4257848310470581
4,405/17,4,0.33849668979644776
4,405/17,5,0.0690729689598083
4,405/17,6,0.01964017391204831
4,405/17,8,0.1432492351531982
4,405/17,9,0.04161821365356455
4,405/34,1,0.23060864448547358
4,405/34,2,0.3693173122406006
4,405/34,3,0.6419026470184326
4,405/34,4,0.3319299602508545
4,405/34,5,0.8916990613937378
4,405/34,12,0.9171913814544679
4,418/15,1,0.03313762664794928
4,418/15,2,0.01732212066650396
4,418/15,3,0.27324986457824707
4,418/15,4,0.31889718294143676
4,418/15,5,0.2360430574417114
4,418/15,6,0.19417873382568362
4,418/15,7,0.028821623325347878
4,418/15,8,0.2176837635040283
4,418/15,9,0.7348219871520996
4,418/4,1,0.1801553249359129
4,418/4,2,0.05637137413024895
4,418/4,3,0.10860795497894271
4,418/4,5,0.2966063785552979
4,418/4,6,0.25402417182922354
4,418/4,7,0.3310170650482176
4,418/4,8,0.3805893898010253
4,418/4,9,0.3398704624176023
4,418/4,11,0.27414105415344237
5,330/183,1,0.5086516571044921
5,330/183,2,0.10330030918121347
5,330/183,3,0.30521075248718255
5,330/183,4,0.3641626572608947
5,330/183,5,0.10131499767303476
5,330/183,6,0.01018406391143789
5,330/183,7,0.03278236389160161
5,330/183,8,0.2845575761795045
5,330/183,9,0.32294173240661617
5,330/183,10,0.7481031322479248
5,331/2,1,1.1817696380615237
5,331/2,2,1.1924003410339354
5,331/2,3,1.0257120895385743
5,331/2,4,0.0019496154785159092
5,331/2,6,0.16296766281127972
5,331/2,8,0.3133732604980466
5,331/2,9,0.6415479469299319
5,331/2,10,0.29270761489868136
5,331/2,12,0.5810992050170896
5,341/17,1,0.3529367256164555
5,341/17,3,0.03374771118164066
5,341/17,4,0.09874071121215788
5,341/17,5,0.28266584396362315
5,341/17,6,0.30934410095214826
5,341/17,7,0.2836570739746094
5,341/17,8,0.21501808166503977
5,341/17,9,0.13647693634033153
5,341/17,10,0.40601940155029226
5,341/17,11,0.6748050689697269
5,341/17,12,0.5228621673583982
5,342/78,1,1.6134916305541993
5,342/78,2,0.9301534175872803
5,342/78,3,0.5280638694763184
5,342/78,4,0.1626251983642577
5,342/78,5,0.4397454452514644
5,342/78,6,3.096675052642822
5,342/78,7,1.1189483737945558
