"data","localizacao","caudal_médio_diário(m3/s)","coord_x_m","coord_y_m"
1974-08-28,ALMOUROL (17G/02H),"106.30",179148.403,276991.639
1974-08-29,ALMOUROL (17G/02H),"129.80",179148.403,276991.639
1974-08-30,ALMOUROL (17G/02H),"134.20",179148.403,276991.639
1974-08-31,ALMOUROL (17G/02H),"101.80",179148.403,276991.639
1974-09-01,ALMOUROL (17G/02H),"86.70",179148.403,276991.639
1974-09-02,ALMOUROL (17G/02H),"114.30",179148.403,276991.639
1974-09-03,ALMOUROL (17G/02H),"162.50",179148.403,276991.639
1974-09-04,ALMOUROL (17G/02H),"177.10",179148.403,276991.639
1974-09-05,ALMOUROL (17G/02H),"154.20",179148.403,276991.639
1974-09-06,ALMOUROL (17G/02H),"182.20",179148.403,276991.639
1974-09-07,ALMOUROL (17G/02H),"137.30",179148.403,276991.639
1974-09-08,ALMOUROL (17G/02H),"94.70",179148.403,276991.639
1974-09-09,ALMOUROL (17G/02H),"134.40",179148.403,276991.639
1974-09-10,ALMOUROL (17G/02H),"179.50",179148.403,276991.639
1974-09-11,ALMOUROL (17G/02H),"172.90",179148.403,276991.639
1974-09-12,ALMOUROL (17G/02H),"178.90",179148.403,276991.639
1974-09-13,ALMOUROL (17G/02H),"180.40",179148.403,276991.639
1974-09-14,ALMOUROL (17G/02H),"221.10",179148.403,276991.639
1974-09-15,ALMOUROL (17G/02H),"94.80",179148.403,276991.639
1974-09-16,ALMOUROL (17G/02H),"116.30",179148.403,276991.639
1974-09-17,ALMOUROL (17G/02H),"167.40",179148.403,276991.639
1974-09-18,ALMOUROL (17G/02H),"171.60",179148.403,276991.639
1974-09-19,ALMOUROL (17G/02H),"151.40",179148.403,276991.639
1974-09-20,ALMOUROL (17G/02H),"158.30",179148.403,276991.639
1974-09-21,ALMOUROL (17G/02H),"148.90",179148.403,276991.639
1974-09-22,ALMOUROL (17G/02H),"87.40",179148.403,276991.639
1974-09-23,ALMOUROL (17G/02H),"132.40",179148.403,276991.639
1974-09-24,ALMOUROL (17G/02H),"114.20",179148.403,276991.639
1974-09-25,ALMOUROL (17G/02H),"147.20",179148.403,276991.639
1974-09-26,ALMOUROL (17G/02H),"153.70",179148.403,276991.639
1974-09-27,ALMOUROL (17G/02H),"171.30",179148.403,276991.639
1974-09-28,ALMOUROL (17G/02H),"127.80",179148.403,276991.639
1974-09-29,ALMOUROL (17G/02H),"65.70",179148.403,276991.639
1974-09-30,ALMOUROL (17G/02H),"97.20",179148.403,276991.639
1974-10-01,ALMOUROL (17G/02H),"121.90",179148.403,276991.639
1974-10-02,ALMOUROL (17G/02H),"146.30",179148.403,276991.639
1974-10-03,ALMOUROL (17G/02H),"154.60",179148.403,276991.639
1974-10-04,ALMOUROL (17G/02H),"166.90",179148.403,276991.639
1974-10-05,ALMOUROL (17G/02H),"120.10",179148.403,276991.639
1974-10-06,ALMOUROL (17G/02H),"108.50",179148.403,276991.639
1974-10-07,ALMOUROL (17G/02H),"112.00",179148.403,276991.639
1974-10-08,ALMOUROL (17G/02H),"165.10",179148.403,276991.639
1974-10-09,ALMOUROL (17G/02H),"100.30",179148.403,276991.639
1974-10-10,ALMOUROL (17G/02H),"79.80",179148.403,276991.639
1974-10-11,ALMOUROL (17G/02H),"69.50",179148.403,276991.639
1974-10-12,ALMOUROL (17G/02H),"72.10",179148.403,276991.639
1974-10-13,ALMOUROL (17G/02H),"25.00",179148.403,276991.639
1974-10-14,ALMOUROL (17G/02H),"41.20",179148.403,276991.639
1974-10-15,ALMOUROL (17G/02H),"60.60",179148.403,276991.639
1974-10-16,ALMOUROL (17G/02H),"140.70",179148.403,276991.639
1974-10-17,ALMOUROL (17G/02H),"178.70",179148.403,276991.639
1974-10-18,ALMOUROL (17G/02H),"259.80",179148.403,276991.639
1974-10-19,ALMOUROL (17G/02H),"281.70",179148.403,276991.639
1974-10-20,ALMOUROL (17G/02H),"257.30",179148.403,276991.639
