site_id,site_label,freq_label,missing_count,missing_first_5
223430.0_152609.0,392/29 | 223430.0_152609.0,34.0d,181,"1979-04-01 00:00:00+00:00, 1979-05-01 00:00:00+00:00, 1979-06-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-08-01 00:00:00+00:00"
223580.0_141050.0,391/245 | 223580.0_141050.0,monthly,5,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
224433.0_151239.0,391/312 | 224433.0_151239.0,32.0d,129,"2014-04-01 00:00:00+00:00, 2014-05-01 00:00:00+00:00, 2014-06-01 00:00:00+00:00, 2014-07-01 00:00:00+00:00, 2014-08-01 00:00:00+00:00"
225145.0_143834.0,391/437 | 225145.0_143834.0,32.0d,260,"2003-06-01 00:00:00+00:00, 2003-07-01 00:00:00+00:00, 2003-08-01 00:00:00+00:00, 2003-09-01 00:00:00+00:00, 2003-10-01 00:00:00+00:00"
225250.0_147750.0,391/403 | 225250.0_147750.0,monthly,18,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
226240.0_146740.0,391/33 | 226240.0_146740.0,monthly,421,"1979-04-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-11-01 00:00:00+00:00, 1980-02-01 00:00:00+00:00, 1980-06-01 00:00:00+00:00"
226750.0_129400.0,390/114 | 226750.0_129400.0,monthly,21,"2000-10-01 00:00:00+00:00, 2000-12-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-06-01 00:00:00+00:00, 2001-08-01 00:00:00+00:00"
226762.3_129293.6,390/208 | 226762.3_129293.6,monthly,40,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00, 2018-09-01 00:00:00+00:00"
226850.0_129648.0,390/110 | 226850.0_129648.0,monthly,156,"1980-08-01 00:00:00+00:00, 1980-09-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1980-11-01 00:00:00+00:00, 1980-12-01 00:00:00+00:00"
230287.3_134002.7,376/24 | 230287.3_134002.7,monthly,40,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00, 2018-09-01 00:00:00+00:00"
231100.0_152520.0,378/129 | 231100.0_152520.0,monthly,26,"2000-06-01 00:00:00+00:00, 2000-07-01 00:00:00+00:00, 2000-08-01 00:00:00+00:00, 2000-09-01 00:00:00+00:00, 2000-10-01 00:00:00+00:00"
234273.0_148399.0,377/94 | 234273.0_148399.0,monthly,424,"1979-04-01 00:00:00+00:00, 1979-06-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-11-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00"
234440.0_144320.0,377/86 | 234440.0_144320.0,monthly,270,"2002-07-01 00:00:00+00:00, 2002-08-01 00:00:00+00:00, 2002-09-01 00:00:00+00:00, 2002-10-01 00:00:00+00:00, 2002-11-01 00:00:00+00:00"
236421.55_145228.17,377/59 | 236421.55_145228.17,monthly,33,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-06-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00"
236849.0_146991.0,377/54 | 236849.0_146991.0,monthly,40,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00, 2018-09-01 00:00:00+00:00"
237074.55_146687.19,377/56 | 237074.55_146687.19,monthly,42,"2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00, 2018-09-01 00:00:00+00:00, 2018-11-01 00:00:00+00:00"
237288.0_147302.4,377/84 | 237288.0_147302.4,monthly,24,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00, 2018-09-01 00:00:00+00:00"
242560.0_159699.0,365/71 | 242560.0_159699.0,monthly,122,"1984-02-01 00:00:00+00:00, 1984-03-01 00:00:00+00:00, 1984-04-01 00:00:00+00:00, 1984-05-01 00:00:00+00:00, 1984-06-01 00:00:00+00:00"
243682.0_161816.0,365/1076 | 243682.0_161816.0,33.0d,56,"2015-05-01 00:00:00+00:00, 2015-06-01 00:00:00+00:00, 2015-07-01 00:00:00+00:00, 2015-08-01 00:00:00+00:00, 2015-09-01 00:00:00+00:00"
244939.0_161614.0,365/233 | 244939.0_161614.0,60.5d,4,"2020-05-01 00:00:00+00:00, 2020-06-01 00:00:00+00:00, 2020-07-01 00:00:00+00:00, 2020-08-01 00:00:00+00:00"
249470.0_158510.0,365/428 | 249470.0_158510.0,monthly,93,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
252892.0_163432.0,353/687 | 252892.0_163432.0,32.0d,69,"2014-04-01 00:00:00+00:00, 2014-05-01 00:00:00+00:00, 2014-06-01 00:00:00+00:00, 2014-07-01 00:00:00+00:00, 2014-08-01 00:00:00+00:00"
253600.0_162940.0,353/353 | 253600.0_162940.0,monthly,18,"2002-08-01 00:00:00+00:00, 2002-09-01 00:00:00+00:00, 2002-10-01 00:00:00+00:00, 2002-11-01 00:00:00+00:00, 2002-12-01 00:00:00+00:00"
258000.0_165000.0,353/346 | 258000.0_165000.0,monthly,37,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
264430.0_169860.0,342/78 | 264430.0_169860.0,monthly,127,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
265050.0_165540.0,341/17 | 265050.0_165540.0,monthly,287,"2000-08-01 00:00:00+00:00, 2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00"
266560.0_170240.0,342/97 | 266560.0_170240.0,monthly,87,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
270910.0_170980.0,330/183 | 270910.0_170980.0,monthly,288,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
271040.0_166700.0,329/6 | 271040.0_166700.0,monthly,19,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
279051.0_188592.0,331/2 | 279051.0_188592.0,monthly,97,"2016-12-01 00:00:00+00:00, 2017-01-01 00:00:00+00:00, 2017-02-01 00:00:00+00:00, 2017-03-01 00:00:00+00:00, 2017-04-01 00:00:00+00:00"
