site_id,site_label,y_m,x_m,n_obs,first_date,last_date,mean_piezometric_level,freq_label,missing_count,missing_first_5
208900.0_137571.0,405/69 | 208900.0_137571.0,208900.0,137571.0,44,1987-05-13 00:00:00+00:00,1991-07-26 00:00:00+00:00,2.0256817,monthly,50,"1987-06-01 00:00:00+00:00, 1987-07-01 00:00:00+00:00, 1987-08-01 00:00:00+00:00, 1987-09-01 00:00:00+00:00, 1987-10-01 00:00:00+00:00"
210180.0_147100.0,405/15 | 210180.0_147100.0,210180.0,147100.0,92,1999-12-01 00:00:00+00:00,2011-01-17 00:00:00+00:00,6.1425,monthly,121,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
210220.0_147150.0,405/14 | 210220.0_147150.0,210220.0,147150.0,5,2000-01-01 00:00:00+00:00,2000-05-01 00:00:00+00:00,7.372,monthly,0,
210460.0_134950.0,404/53 | 210460.0_134950.0,210460.0,134950.0,106,1980-01-24 00:00:00+00:00,1991-07-09 00:00:00+00:00,3.5322642,35.0d,136,"1980-02-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00, 1980-04-01 00:00:00+00:00, 1980-05-01 00:00:00+00:00, 1980-06-01 00:00:00+00:00"
210725.0_147550.0,405/167 | 210725.0_147550.0,210725.0,147550.0,203,1999-12-01 00:00:00+00:00,2022-03-17 00:00:00+00:00,6.261527,monthly,255,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
210870.0_134850.0,404/69 | 210870.0_134850.0,210870.0,134850.0,267,1980-01-01 00:00:00+00:00,2016-11-28 00:00:00+00:00,-0.53329587,monthly,313,"1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00, 1981-04-01 00:00:00+00:00, 1981-08-01 00:00:00+00:00"
211220.0_139561.0,405/34 | 211220.0_139561.0,211220.0,139561.0,131,1979-06-01 00:00:00+00:00,2011-02-07 00:00:00+00:00,17.969084,32.0d,323,"1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-01-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00"
212500.0_152450.0,406/97 | 212500.0_152450.0,212500.0,152450.0,232,1999-12-01 00:00:00+00:00,2025-01-16 00:00:00+00:00,33.13185,monthly,289,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
214800.0_135010.0,404/51 | 214800.0_135010.0,214800.0,135010.0,107,1980-01-24 00:00:00+00:00,1991-07-08 00:00:00+00:00,-3.8897197,34.0d,136,"1980-02-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00, 1980-04-01 00:00:00+00:00, 1980-05-01 00:00:00+00:00, 1980-06-01 00:00:00+00:00"
216200.0_153550.0,406/27 | 216200.0_153550.0,216200.0,153550.0,243,1999-12-01 00:00:00+00:00,2025-01-16 00:00:00+00:00,36.88712,monthly,289,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
217820.0_133940.0,404/61 | 217820.0_133940.0,217820.0,133940.0,86,1978-04-20 00:00:00+00:00,1991-07-08 00:00:00+00:00,-12.66907,42.0d,157,"1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00, 1978-07-01 00:00:00+00:00, 1978-08-01 00:00:00+00:00, 1978-09-01 00:00:00+00:00"
217840.0_133890.0,404/62 | 217840.0_133890.0,217840.0,133890.0,39,1978-01-12 00:00:00+00:00,1982-11-02 00:00:00+00:00,-6.9353848,35.5d,57,"1978-02-01 00:00:00+00:00, 1978-03-01 00:00:00+00:00, 1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00"
218110.0_148760.0,405/52 | 218110.0_148760.0,218110.0,148760.0,93,1974-10-01 00:00:00+00:00,2008-09-25 00:00:00+00:00,26.901934,56.0d,349,"1974-11-01 00:00:00+00:00, 1974-12-01 00:00:00+00:00, 1975-01-01 00:00:00+00:00, 1975-02-01 00:00:00+00:00, 1975-03-01 00:00:00+00:00"
218350.0_148770.0,405/51 | 218350.0_148770.0,218350.0,148770.0,121,1979-10-11 00:00:00+00:00,1994-05-13 00:00:00+00:00,13.909587,34.0d,174,"1979-11-01 00:00:00+00:00, 1979-12-01 00:00:00+00:00, 1980-01-01 00:00:00+00:00, 1980-02-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00"
218850.0_137650.0,405/70 | 218850.0_137650.0,218850.0,137650.0,43,1987-10-15 00:00:00+00:00,1991-07-26 00:00:00+00:00,0.91697675,monthly,45,"1987-11-01 00:00:00+00:00, 1987-12-01 00:00:00+00:00, 1988-01-01 00:00:00+00:00, 1988-02-01 00:00:00+00:00, 1988-03-01 00:00:00+00:00"
218952.4_137569.9,405/67 | 218952.4_137569.9,218952.4,137569.9,4152,1987-05-01 00:00:00+00:00,2023-05-11 00:00:00+00:00,0.8685742,daily,9008,"1987-05-02 00:00:00+00:00, 1987-05-03 00:00:00+00:00, 1987-05-04 00:00:00+00:00, 1987-05-05 00:00:00+00:00, 1987-05-06 00:00:00+00:00"
219450.0_136850.0,405/18 | 219450.0_136850.0,219450.0,136850.0,55,1979-04-27 00:00:00+00:00,1991-07-08 00:00:00+00:00,-0.3750909,43.5d,147,"1979-05-01 00:00:00+00:00, 1979-06-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-08-01 00:00:00+00:00, 1979-09-01 00:00:00+00:00"
219500.0_136600.0,405/17 | 219500.0_136600.0,219500.0,136600.0,275,1979-02-01 00:00:00+00:00,2025-01-16 00:00:00+00:00,5.837782,monthly,495,"1979-03-01 00:00:00+00:00, 1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00"
219520.0_136800.0,405/11 | 219520.0_136800.0,219520.0,136800.0,102,1978-03-02 00:00:00+00:00,1991-01-15 00:00:00+00:00,-0.76617646,35.0d,152,"1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00, 1978-07-01 00:00:00+00:00, 1978-08-01 00:00:00+00:00"
219600.0_136670.0,405/12 | 219600.0_136670.0,219600.0,136670.0,41,1979-05-29 00:00:00+00:00,1991-02-14 00:00:00+00:00,-1.7007318,49.0d,141,"1979-06-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-08-01 00:00:00+00:00, 1979-09-01 00:00:00+00:00, 1979-10-01 00:00:00+00:00"
219600.0_136790.0,405/13 | 219600.0_136790.0,219600.0,136790.0,75,1978-01-12 00:00:00+00:00,1993-02-23 00:00:00+00:00,-0.72146666,49.0d,181,"1978-02-01 00:00:00+00:00, 1978-03-01 00:00:00+00:00, 1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00"
219620.0_136750.0,405/7 | 219620.0_136750.0,219620.0,136750.0,55,1978-03-08 00:00:00+00:00,1992-09-26 00:00:00+00:00,0.7881818,42.5d,174,"1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00, 1978-07-01 00:00:00+00:00, 1978-08-01 00:00:00+00:00"
221380.0_145560.0,391/243 | 221380.0_145560.0,221380.0,145560.0,109,1999-12-01 00:00:00+00:00,2012-05-09 00:00:00+00:00,6.6370645,monthly,138,"2000-07-01 00:00:00+00:00, 2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00"
223430.0_152609.0,392/29 | 223430.0_152609.0,223430.0,152609.0,125,1979-03-13 00:00:00+00:00,1994-05-13 00:00:00+00:00,22.70312,34.0d,181,"1979-04-01 00:00:00+00:00, 1979-05-01 00:00:00+00:00, 1979-06-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-08-01 00:00:00+00:00"
223580.0_141050.0,391/245 | 223580.0_141050.0,223580.0,141050.0,16,1999-12-01 00:00:00+00:00,2001-05-07 00:00:00+00:00,1.329375,monthly,5,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
224433.0_151239.0,391/312 | 224433.0_151239.0,224433.0,151239.0,106,2014-03-27 00:00:00+00:00,2025-01-16 00:00:00+00:00,4.8179245,32.0d,129,"2014-04-01 00:00:00+00:00, 2014-05-01 00:00:00+00:00, 2014-06-01 00:00:00+00:00, 2014-07-01 00:00:00+00:00, 2014-08-01 00:00:00+00:00"
225145.0_143834.0,391/437 | 225145.0_143834.0,225145.0,143834.0,185,2003-05-14 00:00:00+00:00,2025-01-16 00:00:00+00:00,-2.125892,32.0d,260,"2003-06-01 00:00:00+00:00, 2003-07-01 00:00:00+00:00, 2003-08-01 00:00:00+00:00, 2003-09-01 00:00:00+00:00, 2003-10-01 00:00:00+00:00"
225250.0_147750.0,391/403 | 225250.0_147750.0,225250.0,147750.0,17,1999-12-01 00:00:00+00:00,2002-06-12 00:00:00+00:00,0.20647058,monthly,18,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
226240.0_146740.0,391/33 | 226240.0_146740.0,226240.0,146740.0,358,1979-03-01 00:00:00+00:00,2025-01-16 00:00:00+00:00,16.513966,monthly,421,"1979-04-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-11-01 00:00:00+00:00, 1980-02-01 00:00:00+00:00, 1980-06-01 00:00:00+00:00"
226750.0_129400.0,390/114 | 226750.0_129400.0,226750.0,129400.0,27,1999-12-01 00:00:00+00:00,2003-01-08 00:00:00+00:00,-3.3092592,monthly,21,"2000-10-01 00:00:00+00:00, 2000-12-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-06-01 00:00:00+00:00, 2001-08-01 00:00:00+00:00"
226762.3_129293.6,390/208 | 226762.3_129293.6,226762.3,129293.6,81,2017-10-01 00:00:00+00:00,2024-09-02 00:00:00+00:00,-1.2245679,monthly,40,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00, 2018-09-01 00:00:00+00:00"
226850.0_129648.0,390/110 | 226850.0_129648.0,226850.0,129648.0,136,1980-07-30 00:00:00+00:00,1994-05-02 00:00:00+00:00,-7.8736033,monthly,156,"1980-08-01 00:00:00+00:00, 1980-09-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1980-11-01 00:00:00+00:00, 1980-12-01 00:00:00+00:00"
230287.3_134002.7,376/24 | 230287.3_134002.7,230287.3,134002.7,81,2017-10-01 00:00:00+00:00,2024-09-02 00:00:00+00:00,-8.961975,monthly,40,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00, 2018-09-01 00:00:00+00:00"
231100.0_152520.0,378/129 | 231100.0_152520.0,231100.0,152520.0,8,1999-12-01 00:00:00+00:00,2002-07-18 00:00:00+00:00,13.587501,monthly,26,"2000-06-01 00:00:00+00:00, 2000-07-01 00:00:00+00:00, 2000-08-01 00:00:00+00:00, 2000-09-01 00:00:00+00:00, 2000-10-01 00:00:00+00:00"
234273.0_148399.0,377/94 | 234273.0_148399.0,234273.0,148399.0,354,1979-03-01 00:00:00+00:00,2025-01-16 00:00:00+00:00,19.533531,monthly,424,"1979-04-01 00:00:00+00:00, 1979-06-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-11-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00"
234440.0_144320.0,377/86 | 234440.0_144320.0,234440.0,144320.0,214,2002-06-14 00:00:00+00:00,2025-01-09 00:00:00+00:00,1.0247663,monthly,270,"2002-07-01 00:00:00+00:00, 2002-08-01 00:00:00+00:00, 2002-09-01 00:00:00+00:00, 2002-10-01 00:00:00+00:00, 2002-11-01 00:00:00+00:00"
236421.55_145228.17,377/59 | 236421.55_145228.17,236421.55,145228.17,36,2017-10-01 00:00:00+00:00,2021-12-02 00:00:00+00:00,-1.0627779,monthly,33,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-06-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00"
236849.0_146991.0,377/54 | 236849.0_146991.0,236849.0,146991.0,80,2017-10-01 00:00:00+00:00,2024-09-02 00:00:00+00:00,-1.0903751,monthly,40,"2018-01-01 00:00:00+00:00, 2018-04-01 00:00:00+00:00, 2018-05-01 00:00:00+00:00, 2018-07-01 00:00:00+00:00, 2018-09-01 00:00:00+00:00"
