"data","codigo","precipitacao_dia_mm","nome","coord_x_m","coord_y_m"
1980-05-11,"19E/01UG",0.5,MUGE,"149977","237501"
1980-05-12,"19E/01UG",12.8,MUGE,"149977","237501"
1980-05-12,"20E/02UG",10.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-12,"20D/01C",10.4,VILA FRANCA DE XIRA,"129387","219895"
1980-05-13,"18F/01UG",2.0,ALMEIRIM,"158139","249438"
1980-05-13,"20E/01C",2.2,BARRAGEM DE MAGOS,"151370","224830"
1980-05-13,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-13,"17G/04UG",2.2,CONSTÂNCIA,"182246.173","278641.37"
1980-05-14,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-14,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-14,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-14,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-14,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-15,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-15,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-15,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-15,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-16,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-16,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-16,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-16,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-16,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-17,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-17,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-17,"17G/02G",1.0,CHAMUSCA,"169523","265977"
1980-05-17,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-18,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-18,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-18,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-18,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-18,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-18,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-19,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-19,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-19,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-19,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-20,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-20,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-20,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-20,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-20,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-20,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-21,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-22,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-22,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-22,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-22,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-22,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-22,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-22,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-23,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-24,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-24,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-24,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-24,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-24,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-24,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-24,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-25,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-25,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-25,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-26,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
