site_id,site_label,y_m,x_m,n_obs,first_date,last_date,mean_ec,p95_ec,freq_label,missing_count,missing_first_5
265270.0_167050.0,341/254 | 265270.0_167050.0,265270.0,167050.0,6,2002-11-05 00:00:00+00:00,2009-10-28 00:00:00+00:00,771.1667,1075.0,irregular,0,
266170.0_165643.0,341/241 | 266170.0_165643.0,266170.0,165643.0,14,2000-04-12 00:00:00+00:00,2012-12-10 10:15:00+00:00,230.07692,271.59999999999997,irregular,0,
267550.0_168420.0,342/115 | 267550.0_168420.0,267550.0,168420.0,12,2002-11-06 00:00:00+00:00,2009-10-28 00:00:00+00:00,1249.8334,1500.0,irregular,0,
268440.0_166540.0,341/255 | 268440.0_166540.0,268440.0,166540.0,5,2002-11-05 00:00:00+00:00,2006-09-06 00:00:00+00:00,1114.4,1336.4,irregular,0,
268700.0_171250.0,342/113 | 268700.0_171250.0,268700.0,171250.0,10,2002-10-23 00:00:00+00:00,2008-09-30 00:00:00+00:00,1222.6,1455.0,irregular,0,
268980.0_168360.0,342/114 | 268980.0_168360.0,268980.0,168360.0,4,2002-10-28 00:00:00+00:00,2008-09-30 00:00:00+00:00,1394.5,1710.2,irregular,0,
269032.0_166921.0,341/269 | 269032.0_166921.0,269032.0,166921.0,1,2007-03-14 00:00:00+00:00,2007-03-14 00:00:00+00:00,1500.0,1500.0,unknown,0,
270663.0_167873.0,329/341 | 270663.0_167873.0,270663.0,167873.0,3,2007-03-22 00:00:00+00:00,2008-03-11 00:00:00+00:00,1146.6666,1690.0,irregular,0,
270680.0_174290.0,330/186 | 270680.0_174290.0,270680.0,174290.0,10,2001-10-11 10:30:00+00:00,2008-03-31 00:00:00+00:00,299.9,398.84999999999997,irregular,0,
270792.0_174332.0,330/22 | 270792.0_174332.0,270792.0,174332.0,1,2014-05-15 00:00:00+00:00,2014-05-15 00:00:00+00:00,,,unknown,0,
271040.0_166700.0,329/6 | 271040.0_166700.0,271040.0,166700.0,3,2003-05-26 00:00:00+00:00,2004-03-15 00:00:00+00:00,708.6667,939.8,irregular,0,
271230.0_167360.0,329/150 | 271230.0_167360.0,271230.0,167360.0,9,2000-04-12 00:00:00+00:00,2004-10-19 00:00:00+00:00,540.44446,591.8,irregular,0,
271260.0_167430.0,329/10 | 271260.0_167430.0,271260.0,167430.0,15,2000-04-12 00:00:00+00:00,2008-10-01 00:00:00+00:00,490.53333,547.9,irregular,0,
271440.0_171120.0,330/235 | 271440.0_171120.0,271440.0,171120.0,11,2002-11-26 00:00:00+00:00,2009-05-20 00:00:00+00:00,717.4545,875.0,irregular,0,
271850.0_174000.0,330/230 | 271850.0_174000.0,271850.0,174000.0,11,2002-10-23 00:00:00+00:00,2009-10-29 00:00:00+00:00,261.27274,395.5,irregular,0,
273470.0_170250.0,330/233 | 273470.0_170250.0,273470.0,170250.0,11,2002-10-28 00:00:00+00:00,2009-05-20 00:00:00+00:00,658.8182,895.0,irregular,0,
274000.0_174380.0,330/232 | 274000.0_174380.0,274000.0,174380.0,7,2002-10-28 00:00:00+00:00,2007-05-09 00:00:00+00:00,880.8571,1122.4,irregular,0,
274050.0_169030.0,330/234 | 274050.0_169030.0,274050.0,169030.0,11,2002-10-23 00:00:00+00:00,2009-04-13 00:00:00+00:00,566.9091,648.0,irregular,0,
275180.0_175050.0,330/231 | 275180.0_175050.0,275180.0,175050.0,9,2002-11-06 00:00:00+00:00,2008-09-25 00:00:00+00:00,510.44446,654.2,irregular,0,
275630.0_176820.0,330/187 | 275630.0_176820.0,275630.0,176820.0,12,2001-10-11 10:05:00+00:00,2009-05-27 00:00:00+00:00,424.66666,496.65,irregular,0,
276740.0_187630.0,331/129 | 276740.0_187630.0,276740.0,187630.0,9,2002-11-04 00:00:00+00:00,2008-10-02 00:00:00+00:00,508.22223,665.4,irregular,0,
277700.0_188860.0,331/130 | 277700.0_188860.0,277700.0,188860.0,9,2002-11-04 00:00:00+00:00,2009-10-22 00:00:00+00:00,528.55554,590.0,irregular,0,
277700.0_189600.0,331/131 | 277700.0_189600.0,277700.0,189600.0,9,2002-11-04 00:00:00+00:00,2008-10-02 00:00:00+00:00,422.0,505.59999999999997,irregular,0,
278970.0_188570.0,331/1 | 278970.0_188570.0,278970.0,188570.0,9,2002-11-19 00:00:00+00:00,2008-03-24 00:00:00+00:00,291.44446,339.2,irregular,0,
