id,data,codigo,condutividade,condcamp20c,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
1181,2006-09-11 00:00:00+00,330/230,,227.00,174000.00,271850.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:16.360211+00
1269,2000-04-17 00:00:00+00,353/26,,163.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1270,2000-09-25 00:00:00+00,353/26,,131.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1271,2001-02-19 00:00:00+00,353/26,,131.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1272,2001-10-11 13:00:00+00,353/26,,138.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1273,2002-02-25 12:30:00+00,353/26,,133.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1274,2002-10-02 00:00:00+00,353/26,,164.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1275,2003-09-29 00:00:00+00,353/26,,135.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1276,2004-03-30 00:00:00+00,353/26,,140.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1277,2004-09-27 00:00:00+00,353/26,,238.00,166310.00,258300.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VALE DE CAVALOS,2025-07-17 14:16:16.360211+00
1284,2013-01-31 00:00:00+00,353/687,283.00,,163432.00,252892.00,49,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,SELADO,,2025-07-17 14:16:16.360211+00
1303,2007-03-26 00:00:00+00,330/230,,250.00,174000.00,271850.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:16.360211+00
1318,2000-03-27 00:00:00+00,365/18,,202.00,156920.00,248280.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ALMEIRIM,2025-07-17 14:16:16.360211+00
1319,2000-10-16 00:00:00+00,365/18,,208.00,156920.00,248280.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ALMEIRIM,2025-07-17 14:16:16.360211+00
1320,2001-04-16 11:25:00+00,365/18,,234.00,156920.00,248280.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ALMEIRIM,2025-07-17 14:16:16.360211+00
1321,2000-03-27 00:00:00+00,365/27,,200.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1322,2000-10-16 00:00:00+00,365/27,,207.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1323,2001-04-16 10:10:00+00,365/27,,242.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1324,2001-10-10 11:05:00+00,365/27,,239.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1325,2002-04-10 00:00:00+00,365/27,,234.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1326,2002-10-22 00:00:00+00,365/27,,242.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1327,2003-04-15 00:00:00+00,365/27,,222.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1328,2003-11-10 00:00:00+00,365/27,,240.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1329,2004-04-06 00:00:00+00,365/27,,247.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1330,2004-10-11 00:00:00+00,365/27,,228.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1331,2006-10-23 00:00:00+00,365/27,,226.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
1332,2007-03-27 00:00:00+00,365/27,,230.00,161520.00,244710.00,,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FAZENDAS DE ALMEIRIM,2025-07-17 14:16:16.360211+00
