id,data,codigo,nitrato,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
552,2004-10-25 00:00:00+00,341/242,0.664,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
553,2005-04-20 00:00:00+00,341/242,0.66,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
554,2005-11-10 00:00:00+00,341/242,0.66,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
555,2006-03-13 00:00:00+00,341/242,0.66,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
556,2006-11-14 00:00:00+00,341/242,0.82,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
557,2007-04-11 00:00:00+00,341/242,0.84,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
558,2007-11-26 00:00:00+00,341/242,0.84,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
559,2008-04-29 00:00:00+00,341/242,0.84,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
560,2008-11-05 00:00:00+00,341/242,0.87,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
561,2009-05-11 00:00:00+00,341/242,0.886,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
562,2009-10-19 00:00:00+00,341/242,0.886,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
563,2010-07-13 12:20:00+00,341/242,2.000,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
638,2021-10-06 10:40:00+00,342/113,71.0,171250.00,268700.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:15:52.981546+00
702,2011-03-21 10:00:00+00,330/187,4.0,176820.00,275630.00,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA,2025-07-17 14:15:52.981546+00
762,2022-04-04 10:25:00+00,342/113,55.0,171250.00,268700.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:15:52.981546+00
809,2000-03-20 00:00:00+00,353/30,0.31,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
810,2000-10-09 00:00:00+00,353/30,0.18,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
811,2001-03-21 00:00:00+00,353/30,0.18,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
812,2002-03-25 00:00:00+00,353/30,0.18,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
813,2002-10-07 00:00:00+00,353/30,0.84,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
814,2003-03-25 00:00:00+00,353/30,0.84,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
815,2003-11-26 00:00:00+00,353/30,0.66,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
816,2004-10-25 00:00:00+00,353/30,0.664,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
817,2022-10-10 10:20:00+00,342/113,46.0,171250.00,268700.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:15:52.981546+00
818,2005-04-20 00:00:00+00,353/30,0.66,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
819,2005-11-10 00:00:00+00,353/30,0.66,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
820,2006-03-13 00:00:00+00,353/30,0.66,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
