id,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
94,1978-06-20 00:00:00+00,404/61,-4.65,7.65,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
96,1978-07-01 00:00:00+00,420/8,20.32,23.68,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
97,1978-07-01 00:00:00+00,420/9,20.63,23.37,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
98,1978-07-18 00:00:00+00,420/8,20.31,23.69,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
99,1978-07-18 00:00:00+00,405/7,1.17,2.83,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
100,1978-07-18 00:00:00+00,405/13,0.64,4.36,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
101,1978-07-18 00:00:00+00,404/62,0.03,1.97,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
102,1978-07-18 00:00:00+00,404/61,-5.5,8.50,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
103,1978-07-18 00:00:00+00,405/11,0.6,9.40,136800.00,219520.00,10.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
104,1978-07-24 00:00:00+00,432/73,19.16,31.84,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
106,1978-08-01 00:00:00+00,420/8,20.13,23.87,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
107,1978-08-01 00:00:00+00,420/9,20.5,23.50,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
108,1978-08-01 00:00:00+00,432/68,2.05,6.95,127596.60,197803.00,9.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ALCOCHETE,2025-07-17 14:16:33.426554+00
109,1978-08-29 00:00:00+00,404/62,-0.56,2.56,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
110,1978-08-29 00:00:00+00,420/8,20.13,23.87,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
111,1978-08-29 00:00:00+00,405/7,1.02,2.98,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
112,1978-08-29 00:00:00+00,404/61,-6.47,9.47,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
113,1978-08-29 00:00:00+00,405/11,0.39,9.61,136800.00,219520.00,10.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
114,1978-08-29 00:00:00+00,405/13,0.17,4.83,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
116,1978-09-01 00:00:00+00,420/9,20.22,23.78,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
117,1978-09-01 00:00:00+00,420/8,19.74,24.26,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
118,1978-09-01 00:00:00+00,432/77,-2.78,54.78,131190.00,193570.00,52.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
119,1978-09-21 00:00:00+00,432/73,19.41,31.59,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
120,1978-09-22 00:00:00+00,405/7,0.93,3.07,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
121,1978-09-22 00:00:00+00,405/13,-0.26,5.26,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
122,1978-09-28 00:00:00+00,404/61,-6.89,9.89,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
123,1978-09-28 00:00:00+00,404/62,-0.71,2.71,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
124,1978-09-28 00:00:00+00,420/8,19.74,24.26,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
126,1978-10-01 00:00:00+00,420/8,19.69,24.31,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
127,1978-10-01 00:00:00+00,420/9,20.14,23.86,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
128,1978-10-01 00:00:00+00,432/77,-2.3,54.30,131190.00,193570.00,52.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
129,1978-10-18 00:00:00+00,432/73,19.53,31.47,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
130,1978-10-24 00:00:00+00,420/8,19.69,24.31,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
131,1978-10-24 00:00:00+00,405/7,1.04,2.96,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
132,1978-10-24 00:00:00+00,405/13,-0.34,5.34,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
133,1978-10-24 00:00:00+00,405/11,0.19,9.81,136800.00,219520.00,10.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
134,1978-10-24 00:00:00+00,404/62,-1.0,3.00,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
135,1978-10-24 00:00:00+00,404/61,-7.25,10.25,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
137,1978-11-01 00:00:00+00,420/8,19.87,24.13,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
138,1978-11-01 00:00:00+00,420/9,20.16,23.84,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
139,1978-11-01 00:00:00+00,432/77,-11.88,63.88,131190.00,193570.00,52.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
140,1978-11-28 00:00:00+00,420/8,19.87,24.13,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
141,1978-11-28 00:00:00+00,405/7,1.02,2.98,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
142,1978-11-28 00:00:00+00,405/13,-0.39,5.39,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
143,1978-11-28 00:00:00+00,404/61,-7.23,10.23,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
144,1978-11-28 00:00:00+00,404/62,-1.31,3.31,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
145,1978-11-28 00:00:00+00,405/11,0.15,9.85,136800.00,219520.00,10.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
146,1978-11-29 00:00:00+00,432/73,19.64,31.36,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
148,1978-12-01 00:00:00+00,420/8,20.12,23.88,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
149,1978-12-01 00:00:00+00,420/9,20.24,23.76,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
